type,code,name_km,name_en,province_id
ស្រុក,102,មង្គលបូរី,Mongkol Borei,1
ស្រុក,103,ភ្នំស្រុក,Phnum Srok,1
ស្រុក,104,ព្រះនេត្រព្រះ,Preah Netr Preah,1
ស្រុក,105,អូរជ្រៅ,Ou Chrov,1
ក្រុង,106,សិរីសោភ័ណ,Serei Saophoan,1
ស្រុក,107,ថ្មពួក,Thma Puok,1
ស្រុក,108,ស្វាយចេក,Svay Chek,1
ស្រុក,109,ម៉ាឡៃ,Malai,1
ក្រុង,110,ប៉ោយប៉ែត,Paoy Paet,1
ស្រុក,201,បាណន់,Banan,2
ស្រុក,202,ថ្មគោល,Thma Koul,2
ក្រុង,203,បាត់ដំបង,Battambang,2
ស្រុក,204,បវេល,Bavel,2
ស្រុក,205,ឯកភ្នំ,Aek Phnum,2
ស្រុក,206,មោងឫស្សី,Moung Ruessei,2
ស្រុក,207,រតនមណ្ឌល,Rotonak Mondol,2
ស្រុក,208,សង្កែ,Sangkae,2
ស្រុក,209,សំឡូត,Samlout,2
ស្រុក,210,សំពៅលូន,Sampov Lun,2
ស្រុក,211,ភ្នំព្រឹក,Phnum Proek,2
ស្រុក,212,កំរៀង,Kamrieng,2
ស្រុក,213,គាស់ក្រឡ,Koas Krala,2
ស្រុក,214,រុក្ខគិរី,Rukh Kiri,2
ស្រុក,301,បាធាយ,Batheay,3
ស្រុក,302,ចំការលើ,Chamkar Leu,3
ស្រុក,303,ជើងព្រៃ,Cheung Prey,3
ក្រុង,305,កំពង់ចាម,Kampong Cham,3
ស្រុក,306,កំពង់សៀម,Kampong Siem,3
ស្រុក,307,កងមាស,Kang Meas,3
ស្រុក,308,កោះសូទិន,Kaoh Soutin,3
ស្រុក,313,ព្រៃឈរ,Prey Chhor,3
ស្រុក,314,ស្រីសន្ធរ,Srei Santhor,3
ស្រុក,315,ស្ទឹងត្រង់,Stueng Trang,3
ស្រុក,401,បរិបូណ៌,Baribour,4
ស្រុក,402,ជលគីរី,Chol Kiri,4
ក្រុង,403,កំពង់ឆ្នាំង,Kampong Chhnang,4
ស្រុក,404,កំពង់លែង,Kampong Leaeng,4
ស្រុក,405,កំពង់ត្រឡាច,Kampong Tralach,4
ស្រុក,406,រលាប្អៀរ,Rolea Bier,4
ស្រុក,407,សាមគ្គីមានជ័យ,Sameakki Mean Chey,4
ស្រុក,408,ទឹកផុស,Tuek Phos,4
ស្រុក,501,បរសេដ្ឋ,Basedth,5
ក្រុង,502,ច្បារមន,Chbar Mon,5
ស្រុក,503,គងពិសី,Kong Pisei,5
ស្រុក,504,ឱរ៉ាល់,Aoral,5
ស្រុក,505,ឧដុង្គ,Odongk,5
ស្រុក,506,ភ្នំស្រួច,Phnum Sruoch,5
ស្រុក,507,សំរោងទង,Samraong Tong,5
ស្រុក,508,ថ្ពង,Thpong,5
ស្រុក,601,បារាយណ៍,Baray,6
ស្រុក,602,កំពង់ស្វាយ,Kampong Svay,6
ក្រុង,603,ស្ទឹងសែន,Stueng Saen,6
ស្រុក,604,ប្រាសាទបល្ល័ង្គ,Prasat Ballangk,6
ស្រុក,605,ប្រាសាទសំបូរ,Prasat Sambour,6
ស្រុក,606,សណ្ដាន់,Sandan,6
ស្រុក,607,សន្ទុក,Santuk,6
ស្រុក,608,ស្ទោង,Stoung,6
ស្រុក,609,តាំងគោក,Taing Kouk,6
ស្រុក,701,អង្គរជ័យ,Angkor Chey,7
ស្រុក,702,បន្ទាយមាស,Banteay Meas,7
ស្រុក,703,ឈូក,Chhuk,7
ស្រុក,704,ជុំគិរី,Chum Kiri,7
ស្រុក,705,ដងទង់,Dang Tong,7
ស្រុក,706,កំពង់ត្រាច,Kampong Trach,7
ស្រុក,707,ទឹកឈូ,Tuek Chhou,7
ក្រុង,708,កំពត,Kampot,7
ស្រុក,801,កណ្ដាលស្ទឹង,Kandal Stueng,8
ស្រុក,802,កៀនស្វាយ,Kien Svay,8
ស្រុក,803,ខ្សាច់កណ្ដាល,Khsach Kandal,8
ស្រុក,804,កោះធំ,Kaoh Thum,8
ស្រុក,805,លើកដែក,Leuk Daek,8
ស្រុក,806,ល្វាឯម,Lvea Aem,8
ស្រុក,807,មុខកំពូល,Mukh Kampul,8
ស្រុក,808,អង្គស្នួល,Angk Snuol,8
ស្រុក,809,ពញាឮ,Ponhea Lueu,8
ស្រុក,810,ស្អាង,Sang,8
ក្រុង,811,តាខ្មៅ,Ta Khmau,8
ស្រុក,901,បុទុមសាគរ,Botum Sakor,9
ស្រុក,902,គិរីសាគរ,Kiri Sakor,9
ស្រុក,903,កោះកុង,Kaoh Kong,9
ក្រុង,904,ខេមរភូមិន្ទ,Khemara Phoumin,9
ស្រុក,905,មណ្ឌលសីមា,Mondol Seima,9
ស្រុក,906,ស្រែ អំបិល,Srae Ambel,9
ស្រុក,907,ថ្មបាំង,Thma Bang,9
ស្រុក,1001,ឆ្លូង,Chhloung,10
ក្រុង,1002,ក្រចេះ,Kracheh,10
ស្រុក,1003,ព្រែកប្រសព្វ,Prek Prasab,10
ស្រុក,1004,សំបូរ,Sambour,10
ស្រុក,1005,ស្នួល,Snuol,10
ស្រុក,1006,ចិត្របុរី,Chetr Borei,10
ស្រុក,1101,កែវសីមា,Kaev Seima,11
ស្រុក,1102,កោះញែក,Kaoh Nheaek,11
ស្រុក,1103,អូររាំង,Ou Reang,11
ស្រុក,1104,ពេជ្រាដា,Pech Chreada,11
ក្រុង,1105,សែនមនោរម្យ,Saen Monourom,11
ខណ្ឌ,1201,ចំការមន,Chamkar Mon,12
ខណ្ឌ,1202,ដូនពេញ,Doun Penh,12
ខណ្ឌ,1203,៧មករា,Prampir Meakkakra,12
ខណ្ឌ,1204,ទួលគោក,Tuol Kouk,12
ខណ្ឌ,1205,ដង្កោ,Dangkao,12
ខណ្ឌ,1206,មានជ័យ,Mean Chey,12
ខណ្ឌ,1207,ឫស្សីកែវ,Russey Keo,12
ខណ្ឌ,1208,សែនសុខ,Saensokh,12
ខណ្ឌ,1209,ពោធិ៍សែនជ័យ,Pur SenChey,12
ខណ្ឌ,1210,ជ្រោយចង្វារ,Chraoy Chongvar,12
ខណ្ឌ,1211,ព្រែកព្នៅ,Praek Pnov,12
ខណ្ឌ,1212,ច្បារអំពៅ,Chbar Ampov,12
ខណ្ឌ,1213,បឹងកេងកង,Boeng Keng Kang,12
ខណ្ឌ,1214,កំបូល,Kamboul,12
ស្រុក,1301,ជ័យសែន,Chey Saen,13
ស្រុក,1302,ឆែប,Chhaeb,13
ស្រុក,1303,ជាំក្សាន្ដ,Choam Ksant,13
ស្រុក,1304,គូលែន,Kuleaen,13
ស្រុក,1305,រវៀង,Rovieng,13
ស្រុក,1306,សង្គមថ្មី,Sangkum Thmei,13
ស្រុក,1307,ត្បែងមានជ័យ,Tbaeng Mean Chey,13
ក្រុង,1308,ព្រះវិហារ,Preah Vihear,13
ស្រុក,1401,បាភ្នំ,Ba Phnum,14
ស្រុក,1402,កំចាយមារ,Kamchay Mear,14
ស្រុក,1403,កំពង់ត្របែក,Kampong Trabaek,14
ស្រុក,1404,កញ្ជ្រៀច,Kanhchriech,14
ស្រុក,1405,មេសាង,Me Sang,14
ស្រុក,1406,ពាមជរ,Peam Chor,14
ស្រុក,1407,ពាមរក៍,Peam Ro,14
ស្រុក,1408,ពារាំង,Pea Reang,14
ស្រុក,1409,ព្រះស្ដេច,Preah Sdach,14
ក្រុង,1410,ព្រៃវែង,Prey Veng,14
ស្រុក,1411,ពោធិ៍រៀង,Pur Rieng,14
ស្រុក,1412,ស៊ីធរកណ្ដាល,Sithor Kandal,14
ស្រុក,1413,ស្វាយអន្ទរ,Svay Antor,14
ស្រុក,1501,បាកាន,Bakan,15
ស្រុក,1502,កណ្ដៀង,Kandieng,15
ស្រុក,1503,ក្រគរ,Krakor,15
ស្រុក,1504,ភ្នំក្រវ៉ាញ,Phnum Kravanh,15
ក្រុង,1505,ពោធិ៍សាត់,Pursat,15
ស្រុក,1506,វាលវែង,Veal Veaeng,15
ស្រុក,1507,តាលោសែនជ័យ,Ta Lou Senchey,15
ស្រុក,1601,អណ្ដូងមាស,Andoung Meas,16
ក្រុង,1602,បានលុង,Ban Lung,16
ស្រុក,1603,បរកែវ,Bar Kaev,16
ស្រុក,1604,កូនមុំ,Koun Mom,16
ស្រុក,1605,លំផាត់,Lumphat,16
ស្រុក,1606,អូរជុំ,Ou Chum,16
ស្រុក,1607,អូរយ៉ាដាវ,Ou Ya Dav,16
ស្រុក,1608,តាវែង,Ta Veaeng,16
ស្រុក,1609,វើនសៃ,Veun Sai,16
ស្រុក,1701,អង្គរជុំ,Angkor Chum,17
ស្រុក,1702,អង្គរធំ,Angkor Thum,17
ស្រុក,1703,បន្ទាយស្រី,Banteay Srei,17
ស្រុក,1704,ជីក្រែង,Chi Kraeng,17
ស្រុក,1706,ក្រឡាញ់,Kralanh,17
ស្រុក,1707,ពួក,Puok,17
ស្រុក,1709,ប្រាសាទបាគង,Prasat Bakong,17
ក្រុង,1710,សៀមរាប,Siem Reap,17
ស្រុក,1711,សូទ្រនិគម,Soutr Nikom,17
ស្រុក,1712,ស្រីស្នំ,Srei Snam,17
ស្រុក,1713,ស្វាយលើ,Svay Leu,17
ស្រុក,1714,វ៉ារិន,Varin,17
ក្រុង,1801,ព្រះសីហនុ,Preah Sihanouk,18
ស្រុក,1802,ព្រៃនប់,Prey Nob,18
ស្រុក,1803,ស្ទឹងហាវ,Stueng Hav,18
ស្រុក,1804,កំពង់សីលា,Kampong Seila,18
ក្រុង,1805,កោះរ៉ុង,Kaoh Rung,18
ស្រុក,1901,សេសាន,Sesan,19
ស្រុក,1902,សៀមបូក,Siem Bouk,19
ស្រុក,1903,សៀមប៉ាង,Siem Pang,19
ក្រុង,1904,ស្ទឹងត្រែង,Stueng Traeng,19
ស្រុក,1905,ថាឡាបរិវ៉ាត់,Thala Barivat,19
ស្រុក,1906,បុរីអូរស្វាយសែនជ័យ,Borei Ou Svay Senchey,19
ស្រុក,2001,ចន្ទ្រា,Chantrea,20
ស្រុក,2002,កំពង់រោទិ៍,Kampong Rou,20
ស្រុក,2003,រំដួល,Rumduol,20
ស្រុក,2004,រមាសហែក,Romeas Haek,20
ស្រុក,2005,ស្វាយជ្រំ,Svay Chrum,20
ក្រុង,2006,ស្វាយរៀង,Svay Rieng,20
ស្រុក,2007,ស្វាយទាប,Svay Teab,20
ក្រុង,2008,បាវិត,Bavet,20
ស្រុក,2101,អង្គរបូរី,Angkor Borei,21
ស្រុក,2102,បាទី,Bati,21
ស្រុក,2103,បូរីជលសារ,Borei Cholsar,21
ស្រុក,2104,គីរីវង់,Kiri Vong,21
ស្រុក,2105,កោះអណ្ដែត,Kaoh Andaet,21
ស្រុក,2106,ព្រៃកប្បាស,Prey Kabbas,21
ស្រុក,2107,សំរោង,Samraong,21
ក្រុង,2108,ដូនកែវ,Doun Kaev,21
ស្រុក,2109,ត្រាំកក់,Tram Kak,21
ស្រុក,2110,ទ្រាំង,Treang,21
ស្រុក,2201,អន្លង់វែង,Anlong Veaeng,22
ស្រុក,2202,បន្ទាយអំពិល,Banteay Ampil,22
ស្រុក,2203,ចុងកាល់,Chong Kal,22
ក្រុង,2204,សំរោង,Samraong,22
ស្រុក,2205,ត្រពាំងប្រាសាទ,Trapeang Prasat,22
ស្រុក,2301,ដំណាក់ចង្អើរ,Damnak Changaeur,23
ក្រុង,2302,កែប,Kaeb,23
ក្រុង,2401,ប៉ៃលិន,Pailin,24
ស្រុក,2402,សាលាក្រៅ,Sala Krau,24
ស្រុក,2501,តំបែរ,Dambae,25
ស្រុក,2502,ក្រូចឆ្មារ,Krouch Chhmar,25
ស្រុក,2503,មេមត់,Memot,25
ស្រុក,2504,អូររាំងឪ,Ou Reang Ov,25
ស្រុក,2505,ពញាក្រែក,Ponhea Kraek,25
ក្រុង,2506,សួង,Suong,25
ស្រុក,2507,ត្បូងឃ្មុំ,Tboung Khmum,25
